,DATABASE_NAME,SCHEMA,NAME,TYPE,SELF_REFERENCING_COL_NAME,DATABASE
133,V8_NEWYORK_NY_LIVE,COMPS,CO_DETAIL,TABLE,,production
134,V8_NEWYORK_NY_LIVE,COMPS,CO_SALES,TABLE,,production
135,V8_NEWYORK_NY_LIVE,COMPS,COMMNBHD,TABLE,,production
136,V8_NEWYORK_NY_LIVE,COMPS,CONDO,TABLE,,production
137,V8_NEWYORK_NY_LIVE,COMPS,CONDO_ADJUST,TABLE,,production
138,V8_NEWYORK_NY_LIVE,COMPS,CONDO_MAPPING,TABLE,,production
139,V8_NEWYORK_NY_LIVE,COMPS,CONDO_USETYPE,TABLE,,production
140,V8_NEWYORK_NY_LIVE,COMPS,CONSTR,TABLE,,production
141,V8_NEWYORK_NY_LIVE,COMPS,CONSTRCDM,TABLE,,production
142,V8_NEWYORK_NY_LIVE,COMPS,CONSTRCDU,TABLE,,production
143,V8_NEWYORK_NY_LIVE,COMPS,CONSTRCOM,TABLE,,production
144,V8_NEWYORK_NY_LIVE,COMPS,CONSTRDEP,TABLE,,production
145,V8_NEWYORK_NY_LIVE,COMPS,CONSTRRES,TABLE,,production
146,V8_NEWYORK_NY_LIVE,COMPS,CONSTRSECTION,TABLE,,production
147,V8_NEWYORK_NY_LIVE,COMPS,COSTMDL,TABLE,,production
148,V8_NEWYORK_NY_LIVE,COMPS,COSTRATE,TABLE,,production
149,V8_NEWYORK_NY_LIVE,COMPS,COSTVAR,TABLE,,production
150,V8_NEWYORK_NY_LIVE,COMPS,COSTVAR_DEP,TABLE,,production
151,V8_NEWYORK_NY_LIVE,COMPS,CRCONTRL,TABLE,,production
152,V8_NEWYORK_NY_LIVE,COMPS,CRSTORE,TABLE,,production
153,V8_NEWYORK_NY_LIVE,COMPS,CRVAR,TABLE,,production
154,V8_NEWYORK_NY_LIVE,COMPS,CRVAR_BINARY,TABLE,,production
155,V8_NEWYORK_NY_LIVE,COMPS,CSCONTRL,TABLE,,production
156,V8_NEWYORK_NY_LIVE,COMPS,CSSTORE,TABLE,,production
157,V8_NEWYORK_NY_LIVE,COMPS,CSVAR,TABLE,,production
158,V8_NEWYORK_NY_LIVE,COMPS,CSVAR_BINARY,TABLE,,production
159,V8_NEWYORK_NY_LIVE,COMPS,DELBLDG,TABLE,,production
160,V8_NEWYORK_NY_LIVE,COMPS,DELLAND,TABLE,,production
161,V8_NEWYORK_NY_LIVE,COMPS,DELMAST,TABLE,,production
162,V8_NEWYORK_NY_LIVE,COMPS,DEPRDESC,TABLE,,production
163,V8_NEWYORK_NY_LIVE,COMPS,DEPREC,TABLE,,production
164,V8_NEWYORK_NY_LIVE,COMPS,DOCUMENTS,TABLE,,production
165,V8_NEWYORK_NY_LIVE,COMPS,EXEMPTS,TABLE,,production
166,V8_NEWYORK_NY_LIVE,COMPS,EYB,TABLE,,production
167,V8_NEWYORK_NY_LIVE,COMPS,FIRES,TABLE,,production
168,V8_NEWYORK_NY_LIVE,COMPS,FRONTFOOTCURV,TABLE,,production
169,V8_NEWYORK_NY_LIVE,COMPS,HOMEDIST,TABLE,,production
170,V8_NEWYORK_NY_LIVE,COMPS,HOMESTEAD,TABLE,,production
171,V8_NEWYORK_NY_LIVE,COMPS,IMPOSITION,TABLE,,production
172,V8_NEWYORK_NY_LIVE,COMPS,INC_LF_USE,TABLE,,production
173,V8_NEWYORK_NY_LIVE,COMPS,INC_UNIT_TYPE,TABLE,,production
174,V8_NEWYORK_NY_LIVE,COMPS,INCADJCODES,TABLE,,production
175,V8_NEWYORK_NY_LIVE,COMPS,INCADJUST,TABLE,,production
176,V8_NEWYORK_NY_LIVE,COMPS,INCCAPADJ,TABLE,,production
177,V8_NEWYORK_NY_LIVE,COMPS,INCCAPCODES,TABLE,,production
178,V8_NEWYORK_NY_LIVE,COMPS,INCEXP,TABLE,,production
179,V8_NEWYORK_NY_LIVE,COMPS,INCGIMADJ,TABLE,,production
180,V8_NEWYORK_NY_LIVE,COMPS,INCGIMCODES,TABLE,,production
181,V8_NEWYORK_NY_LIVE,COMPS,INCGRMADJ,TABLE,,production
182,V8_NEWYORK_NY_LIVE,COMPS,INCGRMCODES,TABLE,,production
183,V8_NEWYORK_NY_LIVE,COMPS,INCGROUP_E,TABLE,,production
184,V8_NEWYORK_NY_LIVE,COMPS,INCMLINE,TABLE,,production
185,V8_NEWYORK_NY_LIVE,COMPS,INCMLINE_E,TABLE,,production
186,V8_NEWYORK_NY_LIVE,COMPS,INCOME,TABLE,,production
187,V8_NEWYORK_NY_LIVE,COMPS,INCOME_AM_CURVE,TABLE,,production
188,V8_NEWYORK_NY_LIVE,COMPS,INCOME_E,TABLE,,production
189,V8_NEWYORK_NY_LIVE,COMPS,INCOME_EXPENSES,TABLE,,production
190,V8_NEWYORK_NY_LIVE,COMPS,INCOME_HOTEL,TABLE,,production
191,V8_NEWYORK_NY_LIVE,COMPS,INCOME_HOTEL_CODES,TABLE,,production
192,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LEASE_TYPES,TABLE,,production
193,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF,TABLE,,production
194,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_APPROACH,TABLE,,production
195,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_AREA_MAP,TABLE,,production
196,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_CODES,TABLE,,production
197,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_INC_ACTUAL,TABLE,,production
198,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_INC_HOTEL,TABLE,,production
199,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_INC_SPECIALTY_PROPERTY,TABLE,,production
200,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_MKT_ADJ,TABLE,,production
201,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_MKT_TBLS,TABLE,,production
202,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_OCCUPANCY,TABLE,,production
203,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_PERCENTILES,TABLE,,production
204,V8_NEWYORK_NY_LIVE,COMPS,INCOME_LF_SPECIALTY_PROPERTY,TABLE,,production
205,V8_NEWYORK_NY_LIVE,COMPS,INCOME_SOURCE,TABLE,,production
206,V8_NEWYORK_NY_LIVE,COMPS,INCOME_SPECIALTY_PROPERTY,TABLE,,production
207,V8_NEWYORK_NY_LIVE,COMPS,INCOME_SPECIALTY_PROPERTY_CODES,TABLE,,production
208,V8_NEWYORK_NY_LIVE,COMPS,INCRATE_E,TABLE,,production
209,V8_NEWYORK_NY_LIVE,COMPS,INCSTYLEMAP,TABLE,,production
210,V8_NEWYORK_NY_LIVE,COMPS,INCUSE,TABLE,,production
211,V8_NEWYORK_NY_LIVE,COMPS,LA13,TABLE,,production
212,V8_NEWYORK_NY_LIVE,COMPS,LA13RPT,TABLE,,production
213,V8_NEWYORK_NY_LIVE,COMPS,LAND,TABLE,,production
214,V8_NEWYORK_NY_LIVE,COMPS,LAND_ALT,TABLE,,production
215,V8_NEWYORK_NY_LIVE,COMPS,LAND_ALT_BACKUP_BID,TABLE,,production
